BudgetMonth,RegionID,RevenueBudget,ProfitBudget
2023-01-01,1,214320.0,62152.8
2023-01-01,2,231240.0,67059.6
2023-01-01,3,248160.0,71966.4
2023-01-01,4,197400.0,57246.0
2023-01-01,5,214320.0,62152.8
2023-01-01,6,231240.0,67059.6
2023-01-01,7,248160.0,71966.4
2023-01-01,8,197400.0,57246.0
2023-01-01,9,214320.0,62152.8
2023-01-01,10,231240.0,67059.6
2023-01-01,11,248160.0,71966.4
2023-01-01,12,197400.0,57246.0
2023-02-01,1,214320.0,62152.8
2023-02-01,2,231240.0,67059.6
2023-02-01,3,248160.0,71966.4
2023-02-01,4,197400.0,57246.0
2023-02-01,5,214320.0,62152.8
2023-02-01,6,231240.0,67059.6
2023-02-01,7,248160.0,71966.4
2023-02-01,8,197400.0,57246.0
2023-02-01,9,214320.0,62152.8
2023-02-01,10,231240.0,67059.6
2023-02-01,11,248160.0,71966.4
2023-02-01,12,197400.0,57246.0
2023-03-01,1,228000.0,66120.0
2023-03-01,2,246000.0,71340.0
2023-03-01,3,264000.0,76560.0
2023-03-01,4,210000.0,60900.0
2023-03-01,5,228000.0,66120.0
2023-03-01,6,246000.0,71340.0
2023-03-01,7,264000.0,76560.0
2023-03-01,8,210000.0,60900.0
2023-03-01,9,228000.0,66120.0
2023-03-01,10,246000.0,71340.0
2023-03-01,11,264000.0,76560.0
2023-03-01,12,210000.0,60900.0
2023-04-01,1,228000.0,66120.0
2023-04-01,2,246000.0,71340.0
2023-04-01,3,264000.0,76560.0
2023-04-01,4,210000.0,60900.0
2023-04-01,5,228000.0,66120.0
2023-04-01,6,246000.0,71340.0
2023-04-01,7,264000.0,76560.0
2023-04-01,8,210000.0,60900.0
2023-04-01,9,228000.0,66120.0
2023-04-01,10,246000.0,71340.0
2023-04-01,11,264000.0,76560.0
2023-04-01,12,210000.0,60900.0
2023-05-01,1,246240.0,71409.6
2023-05-01,2,265680.0,77047.2
2023-05-01,3,285120.0,82684.8
2023-05-01,4,226800.0,65772.0
2023-05-01,5,246240.0,71409.6
2023-05-01,6,265680.0,77047.2
2023-05-01,7,285120.0,82684.8
2023-05-01,8,226800.0,65772.0
2023-05-01,9,246240.0,71409.6
2023-05-01,10,265680.0,77047.2
2023-05-01,11,285120.0,82684.8
2023-05-01,12,226800.0,65772.0
2023-06-01,1,246240.0,71409.6
2023-06-01,2,265680.0,77047.2
2023-06-01,3,285120.0,82684.8
2023-06-01,4,226800.0,65772.0
2023-06-01,5,246240.0,71409.6
2023-06-01,6,265680.0,77047.2
2023-06-01,7,285120.0,82684.8
2023-06-01,8,226800.0,65772.0
2023-06-01,9,246240.0,71409.6
2023-06-01,10,265680.0,77047.2
2023-06-01,11,285120.0,82684.8
2023-06-01,12,226800.0,65772.0
2023-07-01,1,246240.0,71409.6
2023-07-01,2,265680.0,77047.2
2023-07-01,3,285120.0,82684.8
2023-07-01,4,226800.0,65772.0
2023-07-01,5,246240.0,71409.6
2023-07-01,6,265680.0,77047.2
2023-07-01,7,285120.0,82684.8
2023-07-01,8,226800.0,65772.0
2023-07-01,9,246240.0,71409.6
2023-07-01,10,265680.0,77047.2
2023-07-01,11,285120.0,82684.8
2023-07-01,12,226800.0,65772.0
2023-08-01,1,228000.0,66120.0
2023-08-01,2,246000.0,71340.0
2023-08-01,3,264000.0,76560.0
2023-08-01,4,210000.0,60900.0
2023-08-01,5,228000.0,66120.0
2023-08-01,6,246000.0,71340.0
2023-08-01,7,264000.0,76560.0
2023-08-01,8,210000.0,60900.0
2023-08-01,9,228000.0,66120.0
2023-08-01,10,246000.0,71340.0
2023-08-01,11,264000.0,76560.0
2023-08-01,12,210000.0,60900.0
2023-09-01,1,228000.0,66120.0
2023-09-01,2,246000.0,71340.0
2023-09-01,3,264000.0,76560.0
2023-09-01,4,210000.0,60900.0
2023-09-01,5,228000.0,66120.0
2023-09-01,6,246000.0,71340.0
2023-09-01,7,264000.0,76560.0
2023-09-01,8,210000.0,60900.0
2023-09-01,9,228000.0,66120.0
2023-09-01,10,246000.0,71340.0
2023-09-01,11,264000.0,76560.0
2023-09-01,12,210000.0,60900.0
2023-10-01,1,228000.0,66120.0
2023-10-01,2,246000.0,71340.0
2023-10-01,3,264000.0,76560.0
2023-10-01,4,210000.0,60900.0
2023-10-01,5,228000.0,66120.0
2023-10-01,6,246000.0,71340.0
2023-10-01,7,264000.0,76560.0
2023-10-01,8,210000.0,60900.0
2023-10-01,9,228000.0,66120.0
2023-10-01,10,246000.0,71340.0
2023-10-01,11,264000.0,76560.0
2023-10-01,12,210000.0,60900.0
2023-11-01,1,269040.0,78021.6
2023-11-01,2,290280.0,84181.2
2023-11-01,3,311520.0,90340.8
2023-11-01,4,247800.0,71862.0
2023-11-01,5,269040.0,78021.6
2023-11-01,6,290280.0,84181.2
2023-11-01,7,311520.0,90340.8
2023-11-01,8,247800.0,71862.0
2023-11-01,9,269040.0,78021.6
2023-11-01,10,290280.0,84181.2
2023-11-01,11,311520.0,90340.8
2023-11-01,12,247800.0,71862.0
2023-12-01,1,269040.0,78021.6
2023-12-01,2,290280.0,84181.2
2023-12-01,3,311520.0,90340.8
2023-12-01,4,247800.0,71862.0
2023-12-01,5,269040.0,78021.6
2023-12-01,6,290280.0,84181.2
2023-12-01,7,311520.0,90340.8
2023-12-01,8,247800.0,71862.0
2023-12-01,9,269040.0,78021.6
2023-12-01,10,290280.0,84181.2
2023-12-01,11,311520.0,90340.8
2023-12-01,12,247800.0,71862.0
2024-01-01,1,235752.0,68368.08
2024-01-01,2,254364.0,73765.56
2024-01-01,3,272976.0,79163.04
2024-01-01,4,217140.0,62970.6
2024-01-01,5,235752.0,68368.08
2024-01-01,6,254364.0,73765.56
2024-01-01,7,272976.0,79163.04
2024-01-01,8,217140.0,62970.6
2024-01-01,9,235752.0,68368.08
2024-01-01,10,254364.0,73765.56
2024-01-01,11,272976.0,79163.04
2024-01-01,12,217140.0,62970.6
2024-02-01,1,235752.0,68368.08
2024-02-01,2,254364.0,73765.56
2024-02-01,3,272976.0,79163.04
2024-02-01,4,217140.0,62970.6
2024-02-01,5,235752.0,68368.08
2024-02-01,6,254364.0,73765.56
2024-02-01,7,272976.0,79163.04
2024-02-01,8,217140.0,62970.6
2024-02-01,9,235752.0,68368.08
2024-02-01,10,254364.0,73765.56
2024-02-01,11,272976.0,79163.04
2024-02-01,12,217140.0,62970.6
2024-03-01,1,250800.0,72732.0
2024-03-01,2,270600.0,78474.0
2024-03-01,3,290400.0,84216.0
2024-03-01,4,231000.0,66990.0
2024-03-01,5,250800.0,72732.0
2024-03-01,6,270600.0,78474.0
2024-03-01,7,290400.0,84216.0
2024-03-01,8,231000.0,66990.0
2024-03-01,9,250800.0,72732.0
2024-03-01,10,270600.0,78474.0
2024-03-01,11,290400.0,84216.0
2024-03-01,12,231000.0,66990.0
2024-04-01,1,250800.0,72732.0
2024-04-01,2,270600.0,78474.0
2024-04-01,3,290400.0,84216.0
2024-04-01,4,231000.0,66990.0
2024-04-01,5,250800.0,72732.0
2024-04-01,6,270600.0,78474.0
2024-04-01,7,290400.0,84216.0
2024-04-01,8,231000.0,66990.0
2024-04-01,9,250800.0,72732.0
2024-04-01,10,270600.0,78474.0
2024-04-01,11,290400.0,84216.0
2024-04-01,12,231000.0,66990.0
2024-05-01,1,270864.0,78550.56
2024-05-01,2,292248.0,84751.92
2024-05-01,3,313632.0,90953.28
2024-05-01,4,249480.0,72349.2
2024-05-01,5,270864.0,78550.56
2024-05-01,6,292248.0,84751.92
2024-05-01,7,313632.0,90953.28
2024-05-01,8,249480.0,72349.2
2024-05-01,9,270864.0,78550.56
2024-05-01,10,292248.0,84751.92
2024-05-01,11,313632.0,90953.28
2024-05-01,12,249480.0,72349.2
2024-06-01,1,270864.0,78550.56
2024-06-01,2,292248.0,84751.92
2024-06-01,3,313632.0,90953.28
2024-06-01,4,249480.0,72349.2
2024-06-01,5,270864.0,78550.56
2024-06-01,6,292248.0,84751.92
2024-06-01,7,313632.0,90953.28
2024-06-01,8,249480.0,72349.2
2024-06-01,9,270864.0,78550.56
2024-06-01,10,292248.0,84751.92
2024-06-01,11,313632.0,90953.28
2024-06-01,12,249480.0,72349.2
2024-07-01,1,270864.0,78550.56
2024-07-01,2,292248.0,84751.92
2024-07-01,3,313632.0,90953.28
2024-07-01,4,249480.0,72349.2
2024-07-01,5,270864.0,78550.56
2024-07-01,6,292248.0,84751.92
2024-07-01,7,313632.0,90953.28
2024-07-01,8,249480.0,72349.2
2024-07-01,9,270864.0,78550.56
2024-07-01,10,292248.0,84751.92
2024-07-01,11,313632.0,90953.28
2024-07-01,12,249480.0,72349.2
2024-08-01,1,250800.0,72732.0
2024-08-01,2,270600.0,78474.0
2024-08-01,3,290400.0,84216.0
2024-08-01,4,231000.0,66990.0
2024-08-01,5,250800.0,72732.0
2024-08-01,6,270600.0,78474.0
2024-08-01,7,290400.0,84216.0
2024-08-01,8,231000.0,66990.0
2024-08-01,9,250800.0,72732.0
2024-08-01,10,270600.0,78474.0
2024-08-01,11,290400.0,84216.0
2024-08-01,12,231000.0,66990.0
2024-09-01,1,250800.0,72732.0
2024-09-01,2,270600.0,78474.0
2024-09-01,3,290400.0,84216.0
2024-09-01,4,231000.0,66990.0
2024-09-01,5,250800.0,72732.0
2024-09-01,6,270600.0,78474.0
2024-09-01,7,290400.0,84216.0
2024-09-01,8,231000.0,66990.0
2024-09-01,9,250800.0,72732.0
2024-09-01,10,270600.0,78474.0
2024-09-01,11,290400.0,84216.0
2024-09-01,12,231000.0,66990.0
2024-10-01,1,250800.0,72732.0
2024-10-01,2,270600.0,78474.0
2024-10-01,3,290400.0,84216.0
2024-10-01,4,231000.0,66990.0
2024-10-01,5,250800.0,72732.0
2024-10-01,6,270600.0,78474.0
2024-10-01,7,290400.0,84216.0
2024-10-01,8,231000.0,66990.0
2024-10-01,9,250800.0,72732.0
2024-10-01,10,270600.0,78474.0
2024-10-01,11,290400.0,84216.0
2024-10-01,12,231000.0,66990.0
2024-11-01,1,295944.0,85823.76
2024-11-01,2,319308.0,92599.32
2024-11-01,3,342672.0,99374.88
2024-11-01,4,272580.0,79048.2
2024-11-01,5,295944.0,85823.76
2024-11-01,6,319308.0,92599.32
2024-11-01,7,342672.0,99374.88
2024-11-01,8,272580.0,79048.2
2024-11-01,9,295944.0,85823.76
2024-11-01,10,319308.0,92599.32
2024-11-01,11,342672.0,99374.88
2024-11-01,12,272580.0,79048.2
