ReturnID,OrderID,ReturnDate,ProductID,CustomerID,ReturnReason,RefundAmount,Resolution
700001,500018,2024-06-12,1022,21744,Changed mind,101.77,Refunded
700002,500020,2024-07-28,1030,21415,Changed mind,160.95,Refunded
700003,500022,2023-07-02,1008,21776,Late delivery,408.71,Replaced
700004,500053,2024-10-09,1014,20250,Damaged,92.18,Refunded
700005,500062,2025-04-09,1001,21709,Wrong item,190.26,Replaced
700006,500074,2024-12-05,1034,21860,Changed mind,94.99,Replaced
700007,500087,2025-05-01,1035,20191,Late delivery,125.95,Replaced
700008,500091,2025-12-30,1037,22118,Late delivery,330.06,Refunded
700009,500119,2024-09-02,1006,22336,Wrong item,81.27,Refunded
700010,500125,2024-01-11,1036,20091,Changed mind,84.31,Refunded
700011,500128,2023-06-12,1034,20261,Damaged,87.13,Refunded
700012,500144,2024-03-01,1014,22029,Changed mind,51.38,Replaced
700013,500154,2025-07-09,1016,20285,Quality issue,193.87,Refunded
700014,500174,2023-12-22,1017,21496,Changed mind,552.3,Replaced
700015,500178,2023-07-13,1033,21306,Wrong item,1002.11,Refunded
700016,500193,2023-05-29,1031,21325,Wrong item,316.67,Replaced
700017,500208,2025-04-13,1036,20635,Quality issue,64.66,Refunded
700018,500215,2024-09-05,1038,20878,Wrong item,538.11,Replaced
700019,500246,2023-04-10,1013,20952,Changed mind,705.9,Refunded
700020,500259,2025-08-06,1022,22202,Changed mind,89.42,Replaced
700021,500267,2024-05-16,1006,20412,Changed mind,168.42,Replaced
700022,500277,2024-01-20,1035,20626,Damaged,121.84,Refunded
700023,500297,2024-11-23,1006,21226,Late delivery,297.06,Replaced
700024,500303,2024-01-05,1032,21601,Changed mind,347.19,Refunded
700025,500316,2024-06-08,1017,21618,Changed mind,813.59,Replaced
700026,500328,2024-12-09,1040,20491,Wrong item,117.13,Replaced
700027,500329,2023-11-21,1022,21150,Changed mind,81.99,Refunded
700028,500347,2023-09-02,1024,21097,Damaged,46.96,Replaced
700029,500393,2023-09-16,1037,22155,Late delivery,281.4,Refunded
700030,500396,2025-10-08,1028,21620,Wrong item,243.08,Refunded
700031,500401,2024-12-25,1016,21223,Changed mind,272.73,Refunded
700032,500415,2025-11-15,1005,20828,Damaged,135.07,Replaced
700033,500434,2026-01-11,1016,21100,Damaged,812.67,Refunded
700034,500449,2025-10-10,1031,22454,Changed mind,951.95,Replaced
700035,500483,2023-01-17,1027,22362,Wrong item,190.6,Refunded
700036,500486,2025-06-22,1013,21019,Late delivery,721.63,Replaced
700037,500494,2023-10-11,1034,21153,Changed mind,69.2,Refunded
700038,500498,2025-04-26,1015,22269,Quality issue,524.48,Replaced
700039,500504,2025-03-20,1010,21790,Changed mind,254.54,Replaced
700040,500511,2024-11-19,1012,21790,Changed mind,380.75,Replaced
700041,500523,2025-02-11,1035,21572,Wrong item,129.3,Refunded
700042,500529,2023-02-22,1024,20679,Changed mind,47.55,Replaced
700043,500554,2024-02-26,1035,22274,Damaged,394.05,Replaced
700044,500566,2023-02-02,1015,20759,Quality issue,684.97,Replaced
700045,500587,2025-08-11,1006,20985,Changed mind,413.01,Refunded
700046,500593,2025-12-02,1031,20579,Damaged,263.73,Replaced
700047,500624,2024-10-28,1030,22331,Changed mind,173.01,Replaced
700048,500626,2024-08-07,1020,21359,Wrong item,290.76,Refunded
700049,500643,2024-08-23,1012,21888,Wrong item,114.81,Replaced
700050,500652,2024-10-16,1004,20875,Damaged,640.43,Replaced
700051,500657,2023-04-08,1010,21463,Wrong item,1164.72,Refunded
700052,500662,2023-11-13,1010,20693,Late delivery,531.44,Refunded
700053,500673,2025-04-09,1037,20939,Changed mind,323.03,Refunded
700054,500693,2024-03-30,1035,22358,Damaged,114.15,Refunded
700055,500695,2023-10-23,1003,20515,Quality issue,242.11,Refunded
